Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT
249.99999628961086,283.0764591395855
286.000002771616,281.3536168932915
299.00000643730164,281.45868104696274
334.99999701976776,294.9504892528057
325.99999937415123,281.84267081320286
240.99999864399433,264.42286559939384
296.0000019222498,282.3434267938137
295.0000004172325,286.0473833978176
266.00000447034836,289.6631293594837
314.99999871850014,282.6449297517538
301.9999950528145,304.63322900235653
308.00000408291817,277.4194508641958
289.9999928921461,258.90935066342354
286.000002771616,291.1701512634754
278.999992236495,288.9306375980377
321.9999933540821,288.8277993798256
318.000003233552,297.7606055736542
287.00000427663326,312.9091298431158
293.99999891221523,282.3678802847862
232.0000009983778,264.4712637960911
279.9999937415123,281.34980100393295
230.99999949336052,286.208922713995
258.9999939352274,276.0241391211748
266.00000447034836,277.88543455302715
310.0000070929527,285.8215463459492
269.9999945908785,276.2758765220642
236.9999926239252,255.34979367256165
264.0000014603138,276.17625001072884
298.00000493228436,272.88488644361496
302.99999655783176,282.27423200011253
289.9999928921461,282.603209361434
285.0000012665987,297.5738336890936
319.00000473856926,274.1119333654642
248.99999478459358,259.9129931628704
306.0000010728836,281.7824433594942
306.0000010728836,288.4666890501976
297.0000034272671,287.684113740921
191.00000289082527,286.7541497051716
233.00000250339508,276.19447088241577
247.00000767409801,259.27430868148804
237.9999941289425,236.37805035710335
254.00000230967999,260.58764240145683
239.99999713897705,261.7003557384014
278.999992236495,257.4962632358074
290.9999943971634,266.9729608595371
298.00000493228436,282.3686752617359
279.9999937415123,266.84624153375626
255.00000381469727,250.6433711349964
268.9999930858612,280.7420570254326
318.000003233552,277.1427034884691
298.00000493228436,286.2148691415787
286.000002771616,283.4927249699831
304.9999995678663,303.8683657795191
253.0000008046627,281.95282281935215
234.00000400841236,250.3627760708332
281.99999675154686,280.26685160398483
301.9999950528145,282.58244456350803
260.99999694526196,281.9125174880028
334.99999701976776,268.3808014392853
372.99999061226845,306.5934354662895
278.00000663101673,283.82456424832344
240.99999864399433,246.2177980542183
277.00000512599945,283.46292923390865
266.00000447034836,280.704883903265
268.0000074803829,273.74923308193684
289.9999928921461,262.93702188134193
310.999992698431,281.8507636785507
267.00000597536564,259.6092165708542
181.00000374019146,238.23095083236694
188.9999998807907,260.453068703413
212.99999625235796,249.96551018953323
221.0000003427267,245.42399767041206
202.99999710172415,234.8066989183426
299.00000643730164,234.29775467514992
248.99999478459358,242.01065284013748
275.0000021159649,220.17607033252716
206.000001616776,238.92760503292084
224.99999841302633,248.62708699703217
250.99999779462814,252.18479964137077
235.00000551342964,243.23148304224014
234.00000400841236,252.04978075623512
181.00000374019146,257.36257991194725
187.99999837577343,178.93276157975197
242.0000001490116,202.147932857275
251.99999929964542,219.08463057875633
216.0000007674098,237.50599545240402
279.9999937415123,244.66285493969917
299.00000643730164,274.70166316628456
247.9999932795763,243.8635215163231
192.99999795109034,213.0925077199936
217.00000227242708,246.36235666275024
256.00000531971455,254.51824778318405
257.9999924302101,250.5817763209343
298.00000493228436,248.60689458251
235.00000551342964,280.7511197626591
228.99999648332596,253.7992706298828
243.0000016540289,220.700087338686
254.00000230967999,255.624887496233
235.00000551342964,269.0293436348438
256.00000531971455,262.7772633135319
256.00000531971455,263.7663100361824
235.00000551342964,284.11236180365086
259.9999954402447,261.51503071188927
214.99999926239252,241.9726847410202
232.0000009983778,254.8051708638668
260.99999694526196,257.3511322438717
256.00000531971455,258.8021241724491
262.9999999552965,268.11731427907944
307.0000025779009,295.08862444758415
222.000001847744,284.5058594942093
207.00000312179327,259.697427213192
255.00000381469727,273.34864419698715
257.9999924302101,265.44628712534904
236.9999926239252,260.4848359823227
237.9999941289425,266.80245420336723
297.0000034272671,283.3100869655609
260.99999694526196,276.87648160755634
208.99999818205833,257.16399466991425
264.0000014603138,270.29386577010155
258.9999939352274,265.1900501549244
264.0000014603138,263.22582110762596
261.99999845027924,271.4964433014393
276.00000362098217,290.20937392115593
251.99999929964542,274.64499720931053
240.99999864399433,251.87682557106018
186.00000331550837,267.71521493792534
225.9999999180436,259.5932216346264
213.99999775737524,259.0136198401451
216.0000007674098,261.08259505033493
268.9999930858612,269.3772891461849
238.99999563395977,266.4716801941395
232.0000009983778,248.83530735969543
246.00000616908073,259.2096611559391
227.99999497830868,256.12868028879166
310.999992698431,257.51763221621513
247.00000767409801,277.9396678805351
281.99999675154686,292.094598159194
269.9999945908785,280.1018143892288
264.0000014603138,257.89416509866714
257.0000068247318,276.29098108410835
272.9999991059303,273.30094558000565
236.00000701844692,275.68721199035645
297.0000034272671,277.38504426181316
291.9999959021807,296.42725433409214
245.00000466406345,279.54075145721436
212.99999625235796,256.04972317814827
317.0000017285347,265.6222632229328
268.0000074803829,272.2779692411423
283.9999997615814,270.45709043741226
251.99999929964542,279.93178471922874
281.99999675154686,293.64893709123135
233.00000250339508,277.75365917384624
247.9999932795763,255.39230903983116
287.00000427663326,274.87212212383747
247.9999932795763,276.39130717515945
