CRASH DATE,CRASH_COUNT,is_weekend,month,is_holiday,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
2012-11-14,625,0,11,0,135.0,1.0
2012-11-15,623,0,11,0,129.0,1.0
2012-11-16,672,0,11,0,148.0,0.0
2012-11-17,542,1,11,0,143.0,1.0
2012-11-18,446,1,11,0,126.0,1.0
2012-11-19,585,0,11,0,139.0,0.0
2012-11-20,671,0,11,0,180.0,2.0
2012-11-21,689,0,11,0,186.0,0.0
2012-11-22,384,0,11,0,112.0,1.0
2012-11-23,481,0,11,0,136.0,0.0
2012-11-24,458,1,11,0,127.0,0.0
2012-11-25,415,1,11,0,120.0,1.0
2012-11-26,563,0,11,0,174.0,1.0
2012-11-27,583,0,11,0,134.0,0.0
2012-11-28,512,0,11,0,112.0,0.0
2012-11-29,515,0,11,0,125.0,0.0
2012-11-30,576,0,11,0,140.0,1.0
2012-12-01,480,1,12,0,128.0,0.0
2012-12-02,455,1,12,0,121.0,0.0
2012-12-03,621,0,12,0,140.0,0.0
2012-12-04,621,0,12,0,175.0,0.0
2012-12-05,514,0,12,0,120.0,0.0
2012-12-06,620,0,12,0,149.0,0.0
2012-12-07,714,0,12,0,203.0,0.0
2012-12-08,580,1,12,0,179.0,1.0
2012-12-09,544,1,12,0,192.0,0.0
2012-12-10,619,0,12,0,156.0,0.0
2012-12-11,578,0,12,0,147.0,0.0
2012-12-12,550,0,12,0,150.0,0.0
2012-12-13,545,0,12,0,131.0,1.0
2012-12-14,648,0,12,0,161.0,2.0
2012-12-15,523,1,12,0,151.0,2.0
2012-12-16,500,1,12,0,170.0,3.0
2012-12-17,649,0,12,0,178.0,2.0
2012-12-18,645,0,12,0,153.0,1.0
2012-12-19,590,0,12,0,132.0,2.0
2012-12-20,606,0,12,0,169.0,1.0
2012-12-21,751,0,12,0,199.0,0.0
2012-12-22,542,1,12,0,134.0,0.0
2012-12-23,408,1,12,0,110.0,0.0
2012-12-24,518,0,12,0,163.0,1.0
2012-12-25,354,0,12,0,122.0,0.0
2012-12-26,531,0,12,0,148.0,3.0
2012-12-27,525,0,12,0,113.0,1.0
2012-12-28,557,0,12,0,133.0,3.0
2012-12-29,442,1,12,0,131.0,2.0
2012-12-30,411,1,12,0,135.0,1.0
2012-12-31,482,0,12,0,98.0,1.0
2013-01-01,381,0,1,0,157.0,0.0
2013-01-02,480,0,1,0,123.0,1.0
2013-01-03,549,0,1,0,125.0,0.0
2013-01-04,505,0,1,0,97.0,3.0
2013-01-05,389,1,1,0,111.0,4.0
2013-01-06,393,1,1,0,109.0,1.0
2013-01-07,521,0,1,0,146.0,1.0
2013-01-08,513,0,1,0,119.0,0.0
2013-01-09,487,0,1,0,120.0,0.0
2013-01-10,555,0,1,0,146.0,0.0
2013-01-11,660,0,1,0,212.0,1.0
2013-01-12,475,1,1,0,144.0,1.0
2013-01-13,373,1,1,0,126.0,0.0
2013-01-14,542,0,1,0,124.0,0.0
2013-01-15,516,0,1,0,109.0,0.0
2013-01-16,578,0,1,0,148.0,1.0
2013-01-17,491,0,1,0,134.0,1.0
2013-01-18,561,0,1,0,141.0,1.0
2013-01-19,484,1,1,0,125.0,1.0
2013-01-20,393,1,1,0,99.0,1.0
2013-01-21,355,0,1,0,85.0,0.0
2013-01-22,544,0,1,0,136.0,1.0
2013-01-23,545,0,1,0,110.0,1.0
2013-01-24,554,0,1,0,135.0,0.0
2013-01-25,674,0,1,0,156.0,1.0
2013-01-26,558,1,1,0,156.0,1.0
2013-01-27,429,1,1,0,135.0,0.0
2013-01-28,507,0,1,0,131.0,0.0
2013-01-29,542,0,1,0,144.0,4.0
2013-01-30,497,0,1,0,114.0,3.0
2013-01-31,592,0,1,0,126.0,1.0
2013-02-01,574,0,2,0,140.0,1.0
2013-02-02,534,1,2,0,141.0,0.0
2013-02-03,445,1,2,0,105.0,0.0
2013-02-04,553,0,2,0,116.0,1.0
2013-02-05,566,0,2,0,157.0,1.0
2013-02-06,566,0,2,0,152.0,1.0
2013-02-07,526,0,2,0,126.0,1.0
2013-02-08,703,0,2,0,148.0,0.0
2013-02-09,403,1,2,0,47.0,0.0
2013-02-10,400,1,2,0,80.0,0.0
2013-02-11,475,0,2,0,131.0,0.0
2013-02-12,498,0,2,0,114.0,0.0
2013-02-13,570,0,2,0,175.0,2.0
2013-02-14,631,0,2,0,147.0,0.0
2013-02-15,604,0,2,0,173.0,3.0
2013-02-16,449,1,2,0,122.0,0.0
2013-02-17,447,1,2,0,125.0,0.0
2013-02-18,398,0,2,0,90.0,0.0
2013-02-19,477,0,2,0,132.0,0.0
2013-02-20,510,0,2,0,102.0,0.0
2013-02-21,498,0,2,0,130.0,2.0
2013-02-22,531,0,2,0,127.0,1.0
2013-02-23,521,1,2,0,136.0,2.0
2013-02-24,426,1,2,0,111.0,1.0
2013-02-25,490,0,2,0,105.0,1.0
2013-02-26,537,0,2,0,159.0,0.0
2013-02-27,550,0,2,0,160.0,1.0
2013-02-28,517,0,2,0,111.0,2.0
2013-03-01,603,0,3,0,128.0,0.0
2013-03-02,474,1,3,0,129.0,1.0
2013-03-03,502,1,3,0,147.0,5.0
2013-03-04,597,0,3,0,142.0,1.0
2013-03-05,527,0,3,0,154.0,0.0
2013-03-06,475,0,3,0,101.0,0.0
2013-03-07,535,0,3,0,153.0,1.0
2013-03-08,851,0,3,0,180.0,1.0
2013-03-09,569,1,3,0,158.0,1.0
2013-03-10,415,1,3,0,113.0,1.0
2013-03-11,522,0,3,0,130.0,3.0
2013-03-12,547,0,3,0,135.0,0.0
2013-03-13,636,0,3,0,149.0,1.0
2013-03-14,557,0,3,0,126.0,0.0
2013-03-15,607,0,3,0,119.0,0.0
2013-03-16,521,1,3,0,152.0,0.0
2013-03-17,426,1,3,0,116.0,2.0
2013-03-18,623,0,3,0,121.0,1.0
2013-03-19,559,0,3,0,135.0,0.0
2013-03-20,540,0,3,0,121.0,1.0
2013-03-21,508,0,3,0,135.0,0.0
2013-03-22,604,0,3,0,148.0,0.0
2013-03-23,488,1,3,0,139.0,1.0
2013-03-24,451,1,3,0,128.0,0.0
2013-03-25,498,0,3,0,146.0,0.0
2013-03-26,425,0,3,0,91.0,2.0
2013-03-27,441,0,3,0,89.0,0.0
2013-03-28,549,0,3,0,161.0,0.0
2013-03-29,520,0,3,0,144.0,1.0
2013-03-30,513,1,3,0,142.0,0.0
2013-03-31,426,1,3,0,155.0,0.0
2013-04-01,479,0,4,0,96.0,3.0
2013-04-02,437,0,4,0,84.0,0.0
2013-04-03,532,0,4,0,140.0,2.0
2013-04-04,566,0,4,0,155.0,1.0
2013-04-05,582,0,4,0,149.0,0.0
2013-04-06,531,1,4,0,154.0,1.0
2013-04-07,451,1,4,0,158.0,0.0
2013-04-08,582,0,4,0,148.0,0.0
2013-04-09,613,0,4,0,166.0,1.0
2013-04-10,580,0,4,0,163.0,0.0
2013-04-11,517,0,4,0,117.0,0.0
2013-04-12,649,0,4,0,203.0,0.0
2013-04-13,555,1,4,0,170.0,0.0
2013-04-14,472,1,4,0,139.0,0.0
2013-04-15,603,0,4,0,161.0,1.0
2013-04-16,564,0,4,0,160.0,1.0
2013-04-17,535,0,4,0,161.0,1.0
2013-04-18,553,0,4,0,113.0,0.0
2013-04-19,570,0,4,0,154.0,0.0
2013-04-20,532,1,4,0,150.0,0.0
2013-04-21,471,1,4,0,127.0,0.0
2013-04-22,565,0,4,0,105.0,1.0
2013-04-23,513,0,4,0,137.0,1.0
2013-04-24,598,0,4,0,160.0,1.0
2013-04-25,583,0,4,0,185.0,0.0
2013-04-26,675,0,4,0,152.0,0.0
2013-04-27,517,1,4,0,172.0,0.0
2013-04-28,440,1,4,0,172.0,0.0
2013-04-29,598,0,4,0,161.0,0.0
2013-04-30,576,0,4,0,125.0,2.0
2013-05-01,576,0,5,0,185.0,1.0
2013-05-02,585,0,5,0,161.0,0.0
2013-05-03,686,0,5,0,181.0,0.0
2013-05-04,580,1,5,0,169.0,0.0
2013-05-05,515,1,5,0,177.0,0.0
2013-05-06,561,0,5,0,159.0,1.0
2013-05-07,592,0,5,0,156.0,1.0
2013-05-08,620,0,5,0,165.0,0.0
2013-05-09,602,0,5,0,155.0,0.0
2013-05-10,698,0,5,0,190.0,1.0
2013-05-11,523,1,5,0,188.0,0.0
2013-05-12,527,1,5,0,161.0,1.0
2013-05-13,577,0,5,0,132.0,1.0
2013-05-14,565,0,5,0,112.0,1.0
2013-05-15,532,0,5,0,90.0,1.0
2013-05-16,559,0,5,0,144.0,1.0
2013-05-17,742,0,5,0,182.0,1.0
2013-05-18,506,1,5,0,155.0,0.0
2013-05-19,544,1,5,0,152.0,1.0
2013-05-20,658,0,5,0,175.0,0.0
2013-05-21,697,0,5,0,174.0,0.0
2013-05-22,570,0,5,0,131.0,0.0
2013-05-23,735,0,5,0,190.0,0.0
2013-05-24,668,0,5,0,202.0,0.0
2013-05-25,514,1,5,0,155.0,0.0
2013-05-26,455,1,5,0,167.0,2.0
2013-05-27,420,0,5,0,159.0,2.0
2013-05-28,686,0,5,0,163.0,0.0
2013-05-29,574,0,5,0,150.0,0.0
2013-05-30,685,0,5,0,176.0,0.0
2013-05-31,736,0,5,0,169.0,1.0
2013-06-01,631,1,6,0,181.0,0.0
2013-06-02,487,1,6,0,130.0,1.0
2013-06-03,707,0,6,0,166.0,1.0
2013-06-04,613,0,6,0,188.0,1.0
2013-06-05,599,0,6,0,142.0,0.0
2013-06-06,605,0,6,0,199.0,1.0
2013-06-07,791,0,6,0,232.0,0.0
2013-06-08,571,1,6,0,150.0,0.0
2013-06-09,533,1,6,0,190.0,0.0
2013-06-10,624,0,6,0,164.0,1.0
2013-06-11,635,0,6,0,154.0,2.0
2013-06-12,615,0,6,0,172.0,1.0
2013-06-13,535,0,6,0,140.0,4.0
2013-06-14,693,0,6,0,211.0,0.0
2013-06-15,596,1,6,0,163.0,1.0
2013-06-16,477,1,6,0,158.0,1.0
2013-06-17,614,0,6,0,187.0,0.0
2013-06-18,613,0,6,0,142.0,0.0
2013-06-19,622,0,6,0,187.0,0.0
2013-06-20,681,0,6,0,177.0,1.0
2013-06-21,690,0,6,0,181.0,1.0
2013-06-22,599,1,6,0,197.0,0.0
2013-06-23,505,1,6,0,157.0,1.0
2013-06-24,680,0,6,0,173.0,2.0
2013-06-25,648,0,6,0,198.0,0.0
2013-06-26,621,0,6,0,141.0,1.0
2013-06-27,598,0,6,0,175.0,0.0
2013-06-28,608,0,6,0,165.0,1.0
2013-06-29,591,1,6,0,184.0,2.0
2013-06-30,423,1,6,0,106.0,0.0
2013-07-01,633,0,7,0,182.0,0.0
2013-07-02,601,0,7,0,139.0,1.0
2013-07-03,635,0,7,0,168.0,0.0
2013-07-04,438,0,7,0,164.0,0.0
2013-07-05,576,0,7,0,203.0,1.0
2013-07-06,516,1,7,0,162.0,1.0
2013-07-07,475,1,7,0,147.0,3.0
2013-07-08,617,0,7,0,127.0,0.0
2013-07-09,583,0,7,0,136.0,0.0
2013-07-10,614,0,7,0,148.0,1.0
2013-07-11,550,0,7,0,161.0,1.0
2013-07-12,599,0,7,0,167.0,0.0
2013-07-13,575,1,7,0,174.0,1.0
2013-07-14,471,1,7,0,146.0,0.0
2013-07-15,581,0,7,0,171.0,0.0
2013-07-16,582,0,7,0,159.0,0.0
2013-07-17,609,0,7,0,163.0,0.0
2013-07-18,636,0,7,0,169.0,1.0
2013-07-19,697,0,7,0,167.0,0.0
2013-07-20,551,1,7,0,187.0,1.0
2013-07-21,447,1,7,0,168.0,0.0
2013-07-22,591,0,7,0,191.0,2.0
2013-07-23,571,0,7,0,164.0,0.0
2013-07-24,571,0,7,0,162.0,0.0
2013-07-25,507,0,7,0,147.0,0.0
2013-07-26,617,0,7,0,182.0,2.0
2013-07-27,516,1,7,0,157.0,3.0
2013-07-28,485,1,7,0,195.0,2.0
2013-07-29,597,0,7,0,146.0,0.0
2013-07-30,584,0,7,0,160.0,2.0
2013-07-31,553,0,7,0,175.0,2.0
2013-08-01,643,0,8,0,175.0,2.0
2013-08-02,626,0,8,0,157.0,0.0
2013-08-03,492,1,8,0,167.0,0.0
2013-08-04,454,1,8,0,155.0,1.0
2013-08-05,545,0,8,0,158.0,0.0
2013-08-06,543,0,8,0,184.0,1.0
2013-08-07,508,0,8,0,101.0,1.0
2013-08-08,549,0,8,0,150.0,0.0
2013-08-09,579,0,8,0,157.0,1.0
2013-08-10,495,1,8,0,159.0,0.0
2013-08-11,481,1,8,0,152.0,5.0
2013-08-12,519,0,8,0,137.0,1.0
2013-08-13,553,0,8,0,135.0,0.0
2013-08-14,622,0,8,0,184.0,2.0
2013-08-15,599,0,8,0,166.0,3.0
2013-08-16,678,0,8,0,204.0,2.0
2013-08-17,504,1,8,0,159.0,2.0
2013-08-18,442,1,8,0,141.0,0.0
2013-08-19,462,0,8,0,136.0,1.0
2013-08-20,542,0,8,0,164.0,0.0
2013-08-21,562,0,8,0,157.0,1.0
2013-08-22,578,0,8,0,153.0,0.0
2013-08-23,636,0,8,0,171.0,2.0
2013-08-24,527,1,8,0,182.0,4.0
2013-08-25,459,1,8,0,133.0,1.0
2013-08-26,521,0,8,0,160.0,1.0
2013-08-27,507,0,8,0,129.0,1.0
2013-08-28,482,0,8,0,123.0,0.0
2013-08-29,572,0,8,0,164.0,1.0
2013-08-30,599,0,8,0,169.0,0.0
2013-08-31,480,1,8,0,169.0,2.0
2013-09-01,480,1,9,0,184.0,0.0
2013-09-02,431,0,9,0,160.0,0.0
2013-09-03,551,0,9,0,162.0,1.0
2013-09-04,604,0,9,0,198.0,1.0
2013-09-05,493,0,9,0,124.0,0.0
2013-09-06,525,0,9,0,164.0,1.0
2013-09-07,585,1,9,0,172.0,0.0
2013-09-08,500,1,9,0,182.0,2.0
2013-09-09,632,0,9,0,199.0,0.0
2013-09-10,629,0,9,0,176.0,0.0
2013-09-11,576,0,9,0,135.0,0.0
2013-09-12,695,0,9,0,186.0,1.0
2013-09-13,652,0,9,0,155.0,2.0
2013-09-14,519,1,9,0,147.0,2.0
2013-09-15,476,1,9,0,164.0,3.0
2013-09-16,570,0,9,0,127.0,0.0
2013-09-17,627,0,9,0,197.0,2.0
2013-09-18,571,0,9,0,161.0,0.0
2013-09-19,536,0,9,0,149.0,0.0
2013-09-20,631,0,9,0,191.0,0.0
2013-09-21,546,1,9,0,184.0,2.0
2013-09-22,585,1,9,0,203.0,1.0
2013-09-23,661,0,9,0,191.0,1.0
2013-09-24,615,0,9,0,184.0,1.0
2013-09-25,539,0,9,0,124.0,0.0
2013-09-26,516,0,9,0,112.0,2.0
2013-09-27,553,0,9,0,147.0,2.0
2013-09-28,547,1,9,0,172.0,2.0
2013-09-29,506,1,9,0,153.0,0.0
2013-09-30,605,0,9,0,191.0,0.0
2013-10-01,616,0,10,0,155.0,1.0
2013-10-02,647,0,10,0,190.0,1.0
2013-10-03,590,0,10,0,150.0,0.0
2013-10-04,658,0,10,0,168.0,2.0
2013-10-05,497,1,10,0,128.0,0.0
2013-10-06,404,1,10,0,124.0,1.0
2013-10-07,618,0,10,0,152.0,0.0
2013-10-08,574,0,10,0,124.0,1.0
2013-10-09,529,0,10,0,140.0,0.0
2013-10-10,559,0,10,0,138.0,1.0
2013-10-11,621,0,10,0,162.0,3.0
2013-10-12,556,1,10,0,158.0,0.0
2013-10-13,502,1,10,0,146.0,1.0
2013-10-14,440,0,10,0,141.0,0.0
2013-10-15,615,0,10,0,184.0,0.0
2013-10-16,548,0,10,0,134.0,0.0
2013-10-17,574,0,10,0,123.0,1.0
2013-10-18,680,0,10,0,192.0,1.0
2013-10-19,471,1,10,0,153.0,0.0
2013-10-20,490,1,10,0,142.0,2.0
2013-10-21,616,0,10,0,191.0,2.0
2013-10-22,540,0,10,0,152.0,1.0
2013-10-23,558,0,10,0,156.0,0.0
2013-10-24,632,0,10,0,170.0,0.0
2013-10-25,647,0,10,0,142.0,1.0
2013-10-26,626,1,10,0,236.0,0.0
2013-10-27,512,1,10,0,149.0,0.0
2013-10-28,620,0,10,0,176.0,2.0
2013-10-29,600,0,10,0,156.0,0.0
2013-10-30,558,0,10,0,155.0,1.0
2013-10-31,615,0,10,0,155.0,1.0
2013-11-01,710,0,11,0,209.0,0.0
2013-11-02,551,1,11,0,168.0,2.0
2013-11-03,415,1,11,0,138.0,0.0
2013-11-04,658,0,11,0,158.0,0.0
2013-11-05,510,0,11,0,136.0,2.0
2013-11-06,635,0,11,0,161.0,1.0
2013-11-07,646,0,11,0,151.0,0.0
2013-11-08,682,0,11,0,155.0,1.0
2013-11-09,571,1,11,0,148.0,3.0
2013-11-10,474,1,11,0,103.0,1.0
2013-11-11,456,0,11,0,114.0,3.0
2013-11-12,647,0,11,0,151.0,1.0
2013-11-13,593,0,11,0,168.0,1.0
2013-11-14,620,0,11,0,161.0,1.0
2013-11-15,617,0,11,0,182.0,2.0
2013-11-16,612,1,11,0,170.0,0.0
2013-11-17,533,1,11,0,187.0,0.0
2013-11-18,611,0,11,0,169.0,1.0
2013-11-19,600,0,11,0,155.0,0.0
2013-11-20,607,0,11,0,147.0,0.0
2013-11-21,628,0,11,0,152.0,0.0
2013-11-22,702,0,11,0,156.0,3.0
2013-11-23,536,1,11,0,185.0,0.0
2013-11-24,494,1,11,0,124.0,2.0
2013-11-25,710,0,11,0,165.0,1.0
2013-11-26,867,0,11,0,243.0,3.0
2013-11-27,742,0,11,0,214.0,4.0
2013-11-28,429,0,11,0,124.0,0.0
2013-11-29,437,0,11,0,86.0,1.0
2013-11-30,479,1,11,0,125.0,3.0
2013-12-01,420,1,12,0,115.0,0.0
2013-12-02,549,0,12,0,148.0,0.0
2013-12-03,553,0,12,0,135.0,2.0
2013-12-04,520,0,12,0,142.0,1.0
2013-12-05,573,0,12,0,157.0,0.0
2013-12-06,759,0,12,0,202.0,1.0
2013-12-07,567,1,12,0,166.0,1.0
2013-12-08,456,1,12,0,134.0,0.0
2013-12-09,639,0,12,0,144.0,2.0
2013-12-10,539,0,12,0,135.0,1.0
2013-12-11,605,0,12,0,166.0,0.0
2013-12-12,648,0,12,0,142.0,1.0
2013-12-13,695,0,12,0,161.0,0.0
2013-12-14,690,1,12,0,140.0,2.0
2013-12-15,450,1,12,0,102.0,0.0
2013-12-16,640,0,12,0,133.0,0.0
2013-12-17,703,0,12,0,144.0,0.0
2013-12-18,701,0,12,0,123.0,0.0
2013-12-19,607,0,12,0,153.0,0.0
2013-12-20,674,0,12,0,164.0,2.0
2013-12-21,595,1,12,0,168.0,5.0
2013-12-22,505,1,12,0,168.0,1.0
2013-12-23,707,0,12,0,155.0,1.0
2013-12-24,515,0,12,0,135.0,0.0
2013-12-25,257,0,12,0,80.0,1.0
2013-12-26,428,0,12,0,100.0,0.0
2013-12-27,476,0,12,0,106.0,1.0
2013-12-28,475,1,12,0,121.0,1.0
2013-12-29,394,1,12,0,107.0,1.0
2013-12-30,476,0,12,0,117.0,1.0
2013-12-31,465,0,12,0,122.0,1.0
2014-01-01,399,0,1,0,165.0,2.0
2014-01-02,603,0,1,0,121.0,3.0
2014-01-03,423,0,1,0,46.0,0.0
2014-01-04,418,1,1,0,91.0,0.0
2014-01-05,320,1,1,0,63.0,1.0
2014-01-06,518,0,1,0,111.0,1.0
2014-01-07,491,0,1,0,119.0,0.0
2014-01-08,616,0,1,0,155.0,0.0
2014-01-09,561,0,1,0,100.0,0.0
2014-01-10,667,0,1,0,191.0,3.0
2014-01-11,465,1,1,0,157.0,2.0
2014-01-12,388,1,1,0,96.0,1.0
2014-01-13,568,0,1,0,164.0,0.0
2014-01-14,559,0,1,0,186.0,0.0
2014-01-15,583,0,1,0,118.0,0.0
2014-01-16,521,0,1,0,141.0,0.0
2014-01-17,589,0,1,0,139.0,1.0
2014-01-18,448,1,1,0,130.0,2.0
2014-01-19,380,1,1,0,134.0,2.0
2014-01-20,360,0,1,0,72.0,1.0
2014-01-21,1161,0,1,0,168.0,0.0
2014-01-22,498,0,1,0,76.0,0.0
2014-01-23,612,0,1,0,113.0,0.0
2014-01-24,705,0,1,0,167.0,0.0
2014-01-25,475,1,1,0,110.0,1.0
2014-01-26,465,1,1,0,129.0,1.0
2014-01-27,511,0,1,0,104.0,0.0
2014-01-28,504,0,1,0,125.0,0.0
2014-01-29,649,0,1,0,167.0,0.0
2014-01-30,657,0,1,0,157.0,0.0
2014-01-31,560,0,1,0,106.0,2.0
2014-02-01,507,1,2,0,150.0,0.0
2014-02-02,417,1,2,0,114.0,1.0
2014-02-03,960,0,2,0,159.0,2.0
2014-02-04,613,0,2,0,130.0,0.0
