Actual_ACCIDENT_COUNT,Predicted_ACCIDENT_COUNT
328.0000023841858,304.15501856803894
328.0000023841858,290.79966020584106
246.00000616908073,275.16751965880394
323.99999636411667,304.67029082775116
269.9999945908785,283.9780901968479
244.00000315904617,305.36252495646477
335.99999852478504,292.34665355086327
322.9999948590994,286.1193765103817
304.9999995678663,300.0521107316017
243.0000016540289,273.30275812745094
216.0000007674098,296.1271823346615
278.00000663101673,283.6474751830101
314.99999871850014,251.9990294277668
303.99999806284904,293.3527127802372
346.99999918043613,317.5215702056885
275.0000021159649,285.28026244044304
247.9999932795763,279.7534872889519
262.9999999552965,283.3059848845005
249.99999628961086,285.54877385497093
286.000002771616,277.21379032731056
299.00000643730164,280.6194397807121
334.99999701976776,303.0266918838024
325.99999937415123,282.36002591252327
240.99999864399433,274.7170857191086
296.0000019222498,304.51997658610344
295.0000004172325,281.3230897784233
266.00000447034836,291.7579890191555
314.99999871850014,303.4878421127796
301.9999950528145,294.80694821476936
308.00000408291817,289.5690040886402
289.9999928921461,264.6346792578697
286.000002771616,297.6993605494499
278.999992236495,304.1711724996567
321.9999933540821,287.0491179525852
318.000003233552,290.75084862113
287.00000427663326,316.49023070931435
293.99999891221523,284.4604822099209
232.0000009983778,251.6673332452774
279.9999937415123,293.2488251924515
230.99999949336052,280.8302994668484
258.9999939352274,280.12315157055855
266.00000447034836,267.2495492398739
310.0000070929527,284.3059068918228
269.9999945908785,260.0293777883053
236.9999926239252,255.43609637022018
264.0000014603138,278.39948254823685
298.00000493228436,277.6389440000057
302.99999655783176,267.1499227285385
289.9999928921461,294.2472208440304
285.0000012665987,302.2831022441387
319.00000473856926,268.7363469302654
248.99999478459358,248.2855331003666
306.0000010728836,299.347284168005
306.0000010728836,283.65507516264915
297.0000034272671,287.1239411830902
191.00000289082527,298.7671417891979
233.00000250339508,298.81712993979454
247.00000767409801,226.0624294579029
237.9999941289425,228.37485840916634
254.00000230967999,266.77688774466515
239.99999713897705,274.6861452162266
278.999992236495,259.4518429338932
290.9999943971634,261.2573309838772
298.00000493228436,281.3999481499195
279.9999937415123,253.51934334635735
255.00000381469727,238.98915214836597
268.9999930858612,279.5702610015869
318.000003233552,281.5475276708603
298.00000493228436,256.01086470484734
286.000002771616,288.6702031493187
304.9999995678663,285.41254660487175
253.0000008046627,253.9827195107937
234.00000400841236,241.66103787720203
281.99999675154686,269.81649801135063
301.9999950528145,275.5527654886246
260.99999694526196,265.01938450336456
334.99999701976776,283.62855473160744
372.99999061226845,268.06335124373436
278.00000663101673,269.7920763194561
240.99999864399433,262.91482612490654
277.00000512599945,283.6464258134365
266.00000447034836,281.0695557296276
268.0000074803829,263.2345340549946
289.9999928921461,265.05216935276985
310.999992698431,270.5287019610405
267.00000597536564,253.0320224761963
181.00000374019146,242.29061192274094
188.9999998807907,275.15403684973717
212.99999625235796,247.83668911457062
221.0000003427267,218.55072405934334
202.99999710172415,237.06056986749172
299.00000643730164,243.64445766806602
248.99999478459358,215.36876522004604
275.0000021159649,233.48592421412468
206.000001616776,257.86138024926186
224.99999841302633,272.50297951698303
250.99999779462814,218.96468445658684
235.00000551342964,237.89489817619324
234.00000400841236,255.95623388886452
181.00000374019146,223.67816638946533
187.99999837577343,205.89691695570946
242.0000001490116,227.32100516557693
251.99999929964542,245.9033687710762
216.0000007674098,246.22180473804474
279.9999937415123,263.1037762463093
299.00000643730164,247.22516104578972
247.9999932795763,246.98393324017525
192.99999795109034,229.34431689977646
217.00000227242708,256.44743424654007
256.00000531971455,246.95804879069328
257.9999924302101,236.58665230870247
298.00000493228436,267.1973669528961
235.00000551342964,271.9495165646076
228.99999648332596,255.29379549622536
243.0000016540289,207.16287004947662
254.00000230967999,243.24999010562897
235.00000551342964,274.93017134070396
256.00000531971455,263.09531769156456
256.00000531971455,264.2630434334278
235.00000551342964,276.9008873999119
259.9999954402447,240.1685481518507
214.99999926239252,203.4666883200407
232.0000009983778,264.37465819716454
260.99999694526196,265.4840008318424
256.00000531971455,248.6775521337986
262.9999999552965,275.7190428674221
307.0000025779009,276.799957126379
222.000001847744,244.33201733231544
207.00000312179327,236.5352490991354
255.00000381469727,238.06694708764553
257.9999924302101,251.23279884457588
236.9999926239252,259.0693954229355
237.9999941289425,273.8169492185116
297.0000034272671,267.36959075927734
260.99999694526196,235.31419630348682
208.99999818205833,233.6068720072508
264.0000014603138,247.7364266216755
258.9999939352274,239.3205303400755
264.0000014603138,249.97263318300247
261.99999845027924,257.7980364859104
276.00000362098217,265.2603897154331
251.99999929964542,236.63315846025944
240.99999864399433,225.24474796652794
186.00000331550837,244.34403738379478
225.9999999180436,255.54602578282356
213.99999775737524,200.68226565420628
216.0000007674098,235.61892686784267
268.9999930858612,235.34998616576195
238.99999563395977,216.19069188833237
232.0000009983778,225.17350213229656
246.00000616908073,239.92436303198338
227.99999497830868,248.26778921484947
310.999992698431,229.66992355883121
247.00000767409801,227.46259056031704
281.99999675154686,286.39774563908577
269.9999945908785,235.4836853891611
264.0000014603138,237.23198279738426
257.0000068247318,257.69195476174355
272.9999991059303,267.53694930672646
236.00000701844692,245.38256347179413
297.0000034272671,264.47027802467346
291.9999959021807,246.54898545145988
245.00000466406345,261.0258654952049
212.99999625235796,241.6647583693266
317.0000017285347,247.5764772593975
268.0000074803829,243.48905557394028
283.9999997615814,280.21161660552025
251.99999929964542,262.97801089286804
281.99999675154686,278.0495972931385
233.00000250339508,241.14301499724388
247.9999932795763,238.3225957751274
287.00000427663326,242.95670720934868
247.9999932795763,264.01074954867363
221.0000003427267,265.90403485298157
260.99999694526196,252.32878586649895
247.00000767409801,239.71522049605846
225.9999999180436,244.4100522696972
283.9999997615814,222.83025987446308
265.0000029653311,236.44567109644413
246.00000616908073,277.91686794161797
274.0000006109476,250.71094417572021
292.99999740719795,248.84405210614204
256.00000531971455,270.53916385769844
278.00000663101673,259.6246391236782
246.00000616908073,227.32738088071346
259.9999954402447,265.92270091176033
304.9999995678663,262.42989018559456
276.00000362098217,255.7530377805233
225.9999999180436,291.25928407907486
209.99999968707561,280.5235019624233
223.99999690800905,234.60735049843788
209.99999968707561,213.8990118354559
218.00000377744436,237.6138738244772
208.99999818205833,241.62456433475018
234.00000400841236,228.84521447122097
236.9999926239252,230.46661765873432
287.00000427663326,248.38544580340385
242.0000001490116,235.99704970419407
222.000001847744,244.70680126547813
255.00000381469727,243.27317163348198
236.9999926239252,244.84620842337608
272.9999991059303,249.04295533895493
287.00000427663326,247.89198771119118
311.9999942034483,273.1008975803852
257.9999924302101,261.8773494064808
268.9999930858612,255.4718703329563
301.9999950528145,254.89408108592033
257.0000068247318,273.7550046145916
285.0000012665987,279.1489232182503
236.9999926239252,265.242645829916
304.9999995678663,284.9262751042843
327.0000008791685,239.8102997392416
283.9999997615814,254.01499557495117
260.99999694526196,288.6369095146656
244.00000315904617,283.6910081207752
261.99999845027924,263.3023296892643
287.00000427663326,261.838045746088
300.9999935477972,275.47336319088936
345.99999767541885,267.9641381204128
291.9999959021807,258.0317597091198
300.0000079423189,296.69104358553886
298.00000493228436,286.6796444654465
267.00000597536564,282.8035912513733
289.0000072866678,292.78099715709686
370.0000019967556,282.9480544626713
298.00000493228436,271.0976192653179
289.9999928921461,281.104661911726
265.0000029653311,281.03101524710655
286.000002771616,292.597452878952
330.00000539422035,270.28973188996315
320.00000624358654,290.67821952700615
312.9999957084656,317.3835940063
300.0000079423189,288.0173680782318
283.9999997615814,265.3279627561569
286.000002771616,285.9189787209034
269.9999945908785,292.30986201763153
274.0000006109476,283.16428819298744
296.0000019222498,283.89283686876297
296.0000019222498,290.1183649599552
300.0000079423189,276.5436565577984
267.00000597536564,258.1863032281399
249.99999628961086,283.8246914446354
286.000002771616,281.97633823752403
266.00000447034836,262.3367188870907
334.99999701976776,291.4169757068157
311.9999942034483,285.6967031657696
216.0000007674098,297.5092656612396
256.00000531971455,268.5443122982979
253.0000008046627,245.8994892835617
268.0000074803829,279.8524778187275
258.9999939352274,268.9068535864353
233.00000250339508,286.79733285307884
287.00000427663326,286.7858533859253
290.9999943971634,250.57926419377327
250.99999779462814,257.44334957003593
289.0000072866678,278.76469495892525
274.0000006109476,274.7885382473469
289.0000072866678,287.2645885050297
283.9999997615814,289.6178474724293
310.0000070929527,300.64602211117744
269.9999945908785,274.4372220337391
314.99999871850014,266.53257542848587
260.99999694526196,273.50061199069023
279.9999937415123,308.58606109023094
268.0000074803829,273.9456718862057
230.99999949336052,293.6449463069439
255.00000381469727,290.97274258732796
285.0000012665987,248.90675988793373
288.00000578165054,244.66495367884636
289.0000072866678,276.1279154121876
271.99999760091305,291.9628068804741
240.99999864399433,285.4113382399082
262.9999999552965,287.0527430474758
266.00000447034836,272.9572929441929
229.99999798834324,261.86841386556625
245.00000466406345,248.16698613762856
274.0000006109476,253.11460468173027
228.99999648332596,273.4519276022911
278.00000663101673,279.7696730196476
262.9999999552965,264.6651745736599
268.9999930858612,293.7767852842808
245.00000466406345,264.45272493362427
242.0000001490116,251.80511865019798
264.0000014603138,257.9257415831089
276.00000362098217,268.95067271590233
280.9999952465296,271.72587364912033
282.99999825656414,287.8030104935169
271.99999760091305,294.0025905370712
250.99999779462814,271.8242917954922
283.9999997615814,252.31072399020195
310.999992698431,260.8497940003872
246.00000616908073,289.37875020504
227.99999497830868,295.478544741869
282.99999825656414,272.6286176741123
322.9999948590994,265.7058311998844
281.99999675154686,270.3690705895424
248.99999478459358,269.5228017270565
248.99999478459358,274.20696491003036
300.9999935477972,271.77245929837227
268.9999930858612,261.16533625125885
242.0000001490116,296.4601822793484
287.00000427663326,286.71557742357254
269.9999945908785,253.65569779276848
256.00000531971455,256.72087451815605
260.99999694526196,267.24961283802986
279.9999937415123,272.5559885799885
255.00000381469727,267.2695826590061
260.99999694526196,288.1207786798477
271.99999760091305,279.8609999716282
260.99999694526196,265.43725618720055
268.0000074803829,254.51077499985695
245.00000466406345,264.56418070197105
239.99999713897705,280.0388840138912
260.99999694526196,259.7651910483837
290.9999943971634,265.45792558789253
275.0000021159649,280.1098595559597
300.9999935477972,275.3069586157799
272.9999991059303,254.7794136106968
269.9999945908785,281.61780363321304
254.00000230967999,281.2653744518757
260.99999694526196,271.0293148458004
202.00000354647636,273.2937907874584
296.0000019222498,282.4282985329628
272.9999991059303,237.37235982716084
260.99999694526196,260.2999243438244
254.00000230967999,266.7547555863857
230.99999949336052,274.2515154182911
222.000001847744,262.22593089938164
236.00000701844692,258.02590867877007
244.00000315904617,256.73353055119514
253.0000008046627,250.34134349226952
248.99999478459358,240.19490958750248
233.00000250339508,255.387602776289
223.00000335276127,265.13166704773903
257.9999924302101,248.66063502430916
310.999992698431,250.44729802012444
289.0000072866678,272.7201990187168
282.99999825656414,279.3479536473751
258.9999939352274,258.5352663099766
265.0000029653311,271.60688149929047
285.0000012665987,273.9907629787922
291.9999959021807,266.6861967742443
306.0000010728836,287.35235396027565
259.9999954402447,295.97092166543007
268.9999930858612,281.8554699420929
242.0000001490116,249.06502389907837
293.99999891221523,268.53334161639214
279.9999937415123,269.10566142201424
259.9999954402447,282.80390924215317
304.9999995678663,285.30989918112755
272.9999991059303,280.88861897587776
289.0000072866678,281.2810513973236
212.99999625235796,253.2610076367855
279.9999937415123,277.4045211970806
285.0000012665987,255.74225789308548
286.000002771616,274.599874317646
283.9999997615814,287.0430125296116
283.9999997615814,293.5688193142414
257.0000068247318,272.3364795446396
278.999992236495,256.12791711091995
