Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
267.0,315.30646,297.1869
289.0,311.1926,298.4647
370.00003,295.91623,320.70682
298.0,280.071,310.04034
290.0,271.11728,271.34943
265.0,288.33002,299.89337
286.00003,312.65353,295.2548
330.00003,322.81555,295.8813
320.0,319.6498,313.52234
313.0,306.1865,337.5814
300.0,287.46255,305.25565
284.0,276.2427,274.3663
286.00003,291.73212,300.44507
270.0,316.3211,300.13217
274.0,325.56323,294.3505
296.0,318.36453,297.06506
296.0,301.12408,320.01328
300.0,279.62766,286.40897
267.0,267.42563,260.98132
250.0,281.66458,281.61758
286.00003,303.61667,276.83698
266.0,312.98087,281.19205
335.0,306.46338,282.64862
312.0,293.0462,324.61713
216.0,275.35617,295.27856
256.0,260.7531,245.2746
253.0,272.41043,272.368
268.00003,292.77725,267.91818
259.0,300.61902,270.15268
233.0,293.64752,272.38455
287.0,275.129,283.43292
291.0,254.57127,264.33685
251.0,244.32315,246.74387
289.0,259.0611,262.38495
274.0,283.7578,268.49905
289.0,295.3312,271.46478
284.0,292.79474,283.28275
310.00003,279.88696,306.71805
270.0,263.52448,286.8647
315.0,253.84949,256.1958
261.0,272.16812,291.83975
280.0,297.14093,285.16916
268.00003,308.27502,286.57584
231.0,303.17636,289.3901
255.0,284.75058,295.89172
285.0,261.53116,261.89017
288.00003,248.65585,243.68683
289.0,263.84518,267.4007
272.0,288.90305,270.4913
241.0,300.32004,271.1497
263.0,294.56155,268.72903
266.0,278.30487,290.98724
230.0,257.6177,261.3327
245.0,243.60585,231.61067
274.0,255.29971,250.59164
229.0,277.05106,252.61676
278.0,284.36636,247.7471
263.0,279.20178,262.4038
269.0,264.56345,283.41162
245.0,246.15604,259.3918
242.0,235.08876,235.73901
264.0,248.59123,254.04059
276.0,271.01413,255.44543
281.0,281.90204,263.46774
283.0,279.43976,274.1047
272.0,267.59546,299.7967
251.0,250.77779,271.4043
284.0,240.6098,245.3398
311.0,256.86407,273.98843
246.0,283.5604,281.24658
228.0,294.63217,272.6611
283.0,288.18323,268.57053
323.0,273.037,298.39346
282.0,256.56842,280.8901
249.0,248.04585,253.64091
