,0
0,293.7100072205066
1,284.2921060919761
2,293.3881051540374
3,294.45890730619425
4,292.40564084053034
5,292.971410036087
6,293.9160970449447
7,290.0911131501197
8,281.444912046194
9,290.1226578354835
10,294.94066333770746
11,295.45288288593287
12,294.37839204072947
13,295.72139430046076
14,291.51831936836237
15,282.90264537930483
16,290.8004233837127
17,289.83001092076296
18,290.0398530364036
19,292.68108445405954
20,293.1857040226459
21,290.00023138523096
22,279.9157897830009
23,288.53601104021067
24,290.42656162381166
25,290.23490858078
26,291.7704224586486
27,292.2298555374145
28,288.93896895647043
29,280.8216183185577
30,289.56929028034205
31,293.11285233497614
32,294.77817004919046
33,295.0383501052856
34,295.6148037910461
35,290.6271820068359
36,282.1255713105201
37,292.48431175947184
38,295.4248996973037
39,295.8237237334251
40,298.2262076735496
41,298.48320782184595
42,291.70224523544306
43,283.1990127861499
44,290.1352502703666
45,291.5635694563388
46,289.9791803956031
47,289.7548061013221
48,288.4454472661018
49,283.3953720927238
50,272.3667522668838
51,279.2523338198661
52,282.6143231391906
53,286.12017148733133
54,289.57056224346155
55,289.9939351677894
56,284.37173098325724
57,276.1875386834144
58,286.01304039359087
59,290.9126741290092
60,293.8717691302299
61,295.86067426204676
62,291.0606988370418
63,282.8475057780742
64,270.70556843280787
65,275.60920885205263
66,277.6883915662765
67,278.8101358413696
68,281.75975471734995
69,282.6344201564788
70,276.79381990432734
71,266.68025034666056
72,275.02369242906565
73,280.6704773008823
74,286.3818143010139
75,290.1451397836208
76,290.28737705945963
77,285.6165376901626
78,275.0323735773563
79,282.7502323985099
80,286.23204064369196
81,288.9960483014583
82,289.89268690347666
83,291.35875159502024
84,289.58913290500635
85,281.215354502201
86,290.1468251347541
87,292.2825148105621
88,292.3520275950431
89,292.54097771644587
90,291.83017292618746
91,287.3226218223571
92,277.3821664452552
93,281.5457469224929
94,279.08150917291636
95,277.33440423011774
96,276.5378373265266
97,272.58320859074587
98,265.2206090688705
99,252.49547663331026
100,254.24324935674662
101,255.72950646281237
102,257.5173142254352
103,261.113185763359
104,264.3389478325843
105,262.54656100273127
106,244.07368162274355
107,237.48519885540003
108,238.13014775514597
109,241.58963304758066
110,244.58427941799158
111,245.2886289954185
112,239.45674169063562
113,226.49874460697168
114,221.9330329895019
115,225.2668483257293
116,230.9653384983539
117,236.97037178277964
118,241.61500871181482
119,238.08893615007395
120,225.56388351321215
121,221.50469940900797
122,225.98328155279154
123,232.35333645343775
124,238.7857175469398
125,242.19247996807093
126,237.82916948199266
127,225.63152015209192
128,221.25800216197962
129,224.96672862768168
130,231.1448442935943
131,237.78045329451555
132,241.74773806333536
133,239.67354780435556
134,227.87790241837496
135,224.3463922142982
136,228.97684675455088
137,235.85174381732935
138,242.1989987790584
139,245.44018340110773
140,242.11692535877222
141,230.8890207111835
142,227.96773481369013
143,233.11114028096193
144,240.57943993806833
145,248.9185255467891
146,253.88926202058786
147,249.14741531014437
148,235.0102766156196
149,232.87795764207834
150,236.58188244700426
151,241.44081336259836
152,245.87608516216272
153,246.61744886636728
154,240.99696183204645
155,228.50437605381006
156,224.4399769008159
157,228.44771009683603
158,234.26916730403894
159,242.12662407755846
160,247.58916509151453
161,244.22335988283152
162,232.70547944307322
163,232.0607213377952
164,239.5560820102691
165,249.87952548265451
166,258.27619922161097
167,264.6110525429248
168,261.76023340225214
169,243.6348225474357
170,241.95589482784266
171,250.59420976042742
172,259.59986764192575
173,267.69667607545847
174,271.66300687193865
175,266.6966586709022
176,247.35804939270014
177,246.60937190055841
178,254.25212129950518
179,261.08011472225184
180,265.7742946147918
181,268.49057185649866
182,261.3218513131141
183,241.87881386280054
184,240.76737248897547
185,247.6947380304336
186,255.29929673671717
187,262.82435774803156
188,268.5662854611873
189,262.9196277856826
190,245.33327490091318
191,245.9091880023479
192,253.8641725480556
193,263.3186108171939
194,271.27642548084253
195,273.4783208370208
196,264.34145995974535
197,245.1766962409019
198,242.23264220356936
199,245.24309271574015
200,249.06060382723803
201,253.05097472667688
202,254.1641014516353
203,248.41244322061533
204,235.1689222157001
205,233.02496477961535
206,238.26141434907908
207,245.40377345681185
208,254.25367945432657
209,260.7585624456405
210,259.1680679619312
211,243.27765530347818
212,245.72777426242823
213,257.5759199261665
214,266.3381558656692
215,275.1808752715587
216,278.30185937881464
217,274.46689057350153
218,259.56145435571665
219,265.1757405698299
220,272.73202827572817
221,277.73008015751833
222,282.45790347456926
223,285.2694189548492
224,280.044448852539
225,265.951797068119
226,274.41216436028475
227,283.918403327465
228,289.4910009503364
229,292.4939786791801
230,293.8469340503215
231,292.36713215708727
232,277.282126545906
233,286.24571424722666
234,289.6429687440395
235,291.59183883666987
236,296.0735372900962
237,298.1553275287151
238,292.7049337625503
239,277.9357247948646
240,286.4457940459251
241,290.6523668766021
242,291.8033027052879
243,293.32609695196146
244,294.1226638555526
245,288.7378079891204
246,272.727290213108
247,278.84635499119753
248,281.9654947519302
249,285.17224097251886
250,287.73569184541697
251,291.63362282514566
252,287.8712195158004
253,268.3893235921859
254,272.03903096914286
255,275.5389010906219
256,279.1410370469093
257,282.5431886017322
258,281.9228839874267
259,275.57559722661966
260,261.3458278179168
261,265.4928727746009
262,272.6491280794143
263,278.97504585981363
264,285.1231749951839
265,287.727805674076
266,283.95726180076593
267,268.05346173048014
268,277.4761645197868
269,284.11167812347406
270,287.79432934522623
271,290.5087622404098
272,289.23737150430674
273,281.94342619180674
274,266.5790020823478
275,272.26865211129183
276,279.1435809731483
277,283.84815916419024
278,285.9436230063438
279,286.56554937362665
280,279.8512694537639
281,262.4469662904739
282,264.8158386051654
283,270.03810578584665
284,273.0125915408134
285,277.8898069262504
286,279.52491551637644
287,272.6690661013126
288,257.14399304985994
289,260.41392403841013
290,266.7273765802383
291,272.65132221579546
292,279.42741954326624
293,283.17958354949945
294,277.4946715831756
295,262.17521136999125
296,268.5095241069793
297,278.1078214049339
298,282.9813798964023
299,284.9186115264892
300,286.709122210741
301,283.72407916188234
302,269.340783804655
303,275.42499679327005
304,279.44417765736574
305,284.50738584995264
306,287.7544533014297
307,287.28955078124994
308,281.59128320217127
309,267.26010653376574
310,272.5909357666969
311,277.3730083107948
312,282.3770702183246
313,285.4906133413314
314,286.1641178131103
315,279.616306066513
316,265.0083820223808
317,270.83823418617243
318,275.21168857812876
319,277.9478720426559
320,281.6618453562259
321,284.0999760627746
322,278.1323066949844
323,265.8158242106437
324,273.82076510787005
325,280.68163877725596
326,284.21973139047617
327,287.015951514244
328,285.17255896329874
329,279.6348767280578
330,266.09861341118807
331,271.67696666717524
332,276.26242551207537
333,278.4889651536941
334,280.02088573575014
335,279.2916374802589
336,271.3255232572555
337,256.50044330954546
338,259.5223414897918
339,264.1968377530574
340,267.41121575236315
341,271.5766723752021
342,276.06256830692286
343,271.7867370843887
344,259.3010835051536
345,266.67490810155863
346,274.11659193038935
347,281.13588860630983
348,286.64339351654047
349,289.6651327013969
350,283.4574438929557
351,270.4882853329181
352,277.32403773069376
353,283.4343577623367
354,286.8914899230003
355,288.85587796568865
356,290.3779408335685
357,284.6517218649387
358,272.77486163377756
359,278.4002775251865
360,282.72902241349215
361,286.069515556097
362,289.1449315845966
363,289.8103272914886
364,284.2900073528289
